Data below is obtained from fasta file:  "C:/Users/Mana/Dropbox/ResCons/Demo Files/Description Extractor/Sequences_demo.fasta"
Total number of sequences present in fasta file:  677
Number of unique Identifiers present among them:  677

### Following are the unique Identifiers extracted: ###

Identifier, Count
WP_002080314,1
WP_002077918,1
WP_002070913,1
WP_002068200,1
WP_001968143,1
WP_001939000,1
WP_001923206,1
WP_001922356,1
WP_001916577,1
WP_001836818,1
WP_001739810,1
WP_001712222,1
WP_001691321,1
WP_001691111,1
WP_001680062,1
WP_001638680,1
WP_001634937,1
WP_001633560,1
WP_001622084,1
WP_001608315,1
WP_001531769,1
WP_001500687,1
WP_001500009,1
WP_001472753,1
WP_001434116,1
